date,open,close,high,low,volume
05/16/25,61.7,62.49,62.72,61.24,
05/15/25,62.88,61.62,62.92,60.46,
05/14/25,63.55,63.15,63.7,62.75,
05/13/25,61.9,63.67,63.9,61.61,
05/12/25,61.3,61.95,63.59,61.01,
05/09/25,60.29,61.02,61.45,59.89,
05/08/25,57.94,59.91,60.3,57.7,
05/07/25,59.01,58.07,60.25,57.81,
05/06/25,57.24,59.09,59.85,57.02,
05/05/25,56.77,57.13,57.69,55.29,
05/02/25,59.06,58.29,59.87,57.74,
05/01/25,58.22,59.24,59.5,56.39,
04/30/25,60.18,58.21,60.41,57.92,
04/29/25,61.83,60.42,62.09,60.12,
04/28/25,63.49,62.05,63.9,61.44,
04/25/25,62.78,63.02,63.4,61.81,
04/24/25,62.26,62.79,63.3,62.08,
04/23/25,63.8,62.27,64.87,61.62,
04/22/25,0,63.67,64.37,0,
04/21/25,64.38,63.08,64.9,62.44,
